Case Number,Date,Type,Country,Area,Location,Fatal (Y/N),Time,Period,Activity Type,Species Type,Exact Location,Coordinate,Latitude,Longitude
2013.09.02,Sep-2013,Unprovoked,United States,Florida,"Ormond Beach, Volusia County",N,13h00,Afternoon,Swimming,Unknown,"Ormond Beach, Volusia County, Florida, United States","(29.2858129, -81.0558894)",29.2858129,-81.0558894
2013.09.01.c,Sep-2013,Provoked,United States,Florida,Key West Aquarium,N,Unknown,Unknown,Unknown,Tiger,"Key West Aquarium, Florida, United States","(24.55907, -81.807332)",24.55907,-81.807332
2013.09.01.b,Sep-2013,Unprovoked,Bahamas,Bahamas,Bahamas,N,Unknown,Unknown,Unknown,Unknown,"Bahamas, Bahamas, Bahamas","(25.03428, -77.39627999999999)",25.03428,-77.39627999999999
2013.09.01.a,Sep-2013,Unprovoked,United States,Florida,"St Augustine Beach, St Johns County",N,12h00,Afternoon,Unknown,Unknown,"St Augustine Beach, St Johns County, Florida, United States","(29.8439828, -81.2711546)",29.8439828,-81.2711546
2013.08.31.b,Aug-2013,Unprovoked,Bahamas,Freetown Beach,Freetown Beach,N,Unknown,Unknown,Fishing,Blacktip,"Freetown Beach, Freetown Beach, Bahamas","(24.77838, -76.2783235)",24.77838,-76.2783235
2013.08.31.a,Aug-2013,Unprovoked,United States,California,"Butterfly Beach, Montecito, Santa Barbara County",N,23h00,Evening,Swimming,Unknown,"Butterfly Beach, Montecito, Santa Barbara County, California, United States","(34.4176221, -119.6491956)",34.4176221,-119.6491956
2013.08.29,Aug-2013,Not Confirmed,United States,California,Catalina Channel,U,Unknown,Unknown,Swimming,Unknown,"Catalina Channel, California, United States","(33.3878856, -118.4163103)",33.3878856,-118.4163103
2013.08.26,Aug-2013,Provoked,France,Bay of Biscay,Bay of Biscay,N,20h30,Evening,Fishing,Mako,"Bay of Biscay, Bay of Biscay, France","(45.5570384, -3.1632157)",45.5570384,-3.1632157
2013.08.25.b,Aug-2013,Unprovoked,United States,Florida,Smiths Beach,N,17h00,Afternoon,Surfing,Unknown,"Smiths Beach, New South Wales, Australia","(-31.2532183, 146.921099)",-31.2532183,146.921099
2013.08.25,Aug-2013,Unprovoked,Australia,New South Wales,Smiths,N,15h00,Afternoon,Unknown,Unknown,"Smiths, New South Wales, Australia","(-31.2532183, 146.921099)",-31.2532183,146.921099
2013.08.18,Aug-2013,Unprovoked,United States,Hawaii,Pohoiki,N,13h00,Afternoon,Surfing,Unknown,"Pohoiki, Hawaii, United States","(19.4608333, -154.8469444)",19.4608333,-154.8469444
2013.08.17,Aug-2013,Unprovoked,United States,California,"Pillar Point, Half-Moon Bay, San Mateo County",N,12h40,Afternoon,Surfing,White,"Pillar Point, Half-Moon Bay, San Mateo County, California, United States","(37.5030312, -122.4822904)",37.5030312,-122.4822904
2013.08.14,Aug-2013,Unprovoked,United States,Hawaii,"Makenat, Maui",Y,16h30,Afternoon,Diving,Tiger,"Makenat, Maui, Hawaii, United States","(20.6544444, -156.4425)",20.6544444,-156.4425
2013.08.13,Aug-2013,Unprovoked,United States,Hawaii,"Ka'a Point, Maui",N,13h55,Afternoon,Surfing,Unknown,"Ka'a Point, Maui, Hawaii, United States","(20.8985743, -156.4473714)",20.8985743,-156.4473714
2013.08.11,Aug-2013,Unprovoked,United States,South Carolina,Folly Beach,N,17h30,Afternoon,Surfing,Bull,"Folly Beach, South Carolina, United States","(32.6551798, -79.94036729999999)",32.6551798,-79.94036729999999
2013.08.08.R,Aug-2013,Unprovoked,South Africa,South Africa,South Africa,N,Unknown,Unknown,Unknown,Blacktip,"South Africa, South Africa, South Africa","(-28.7707857,32.0577775)",-28.7707857,32.0577775
2013.08.05,Aug-2013,Unprovoked,United States,Florida,"Sanibel Island, Lee County",N,15h00,Afternoon,Fishing,Bull,"Sanibel Island, Lee County, Florida, United States","(26.4433972, -82.1115119)",26.4433972,-82.1115119
2013.07.31,Jul-2013,Unprovoked,United States,Hawaii,"Ulua Beach, Maui",N,08h45,Morning,Diving,Unknown,"Ulua Beach, Maui, Hawaii, United States","(20.6903433, -156.4436167)",20.6903433,-156.4436167
2013.07.30,Jul-2013,Unprovoked,United States,South Carolina,"Isle of Palms, Charleston County",N,Unknown,Unknown,Swimming,Unknown,"Isle of Palms, Charleston County, South Carolina, United States","(32.8194131, -79.7343791)",32.8194131,-79.7343791
2013.07.29.c,Jul-2013,Unprovoked,Bahamas,Abaco Islands,Scotland Cay,N,16h05,Afternoon,Fishing,Unknown,"Scotland Cay, Abaco Islands, Bahamas","(26.6458099, -77.0751538)",26.6458099,-77.0751538
2013.07.29.b,Jul-2013,Unprovoked,Mexico,Quintana Roo,Valentin Imperial Riviera Maya,N,11h00,Morning,Wading,Unknown,"Valentin Imperial Riviera Maya, Quintana Roo, Mexico","(20.769411, -86.947784)",20.769411,-86.947784
2013.07.29.a,Jul-2013,Unprovoked,United States,Hawaii,"White Plains Beach, Oahu",N,14h10,Afternoon,Surfing,Tiger,"White Plains Beach, Oahu, Hawaii, United States","(21.3035275, -158.0452282)",21.3035275,-158.0452282
2013.07.28.b,Jul-2013,Unprovoked,Bahamas,Exuma,Compass Cay,N,16h45,Afternoon,Fishing,Tiger,"Compass Cay, Exuma, Bahamas","(24.2660998, -76.51702879999999)",24.2660998,-76.51702879999999
2013.07.28.a,Jul-2013,Unprovoked,Bahamas,Abaco Islands,Grand Cay,N,11h15,Morning,Diving,Unknown,"Grand Cay, Abaco Islands, Bahamas","(27.2162615, -78.3230559)",27.2162615,-78.3230559
2013.07.22,Jul-2013,Unprovoked,Brazil,Pernambuco,"Boa Viagem Beach, Recife",Y,13h20,Afternoon,Swimming,Unknown,"Boa Viagem Beach, Recife, Pernambuco, Brazil","(-8.11807, -34.8932392)",-8.11807,-34.8932392
2013.07.19,Jul-2013,Unprovoked,United States,Alabama,"Gulf Shores, Baldwin County",N,14h30,Afternoon,Wading,Unknown,"Gulf Shores, Baldwin County, Alabama, United States","(30.2460361, -87.70081929999999)",30.2460361,-87.70081929999999
2013.07.17.R,Jul-2013,Unprovoked,United States,Florida,"Butler Beach, St Augustine,    St. Johns County",N,Unknown,Unknown,Swimming,Unknown,"Butler Beach, St Augustine,    St. Johns County, Florida, United States","(29.7983039, -81.2670131)",29.7983039,-81.2670131
2013.07.15,Jul-2013,Unprovoked,Reunion,Saint-Paul,Le cimetière marin,Y,14h15,Afternoon,Diving,Unknown,"Le cimetière marin, Saint-Paul, Reunion","(-21.0148092, 55.2602795)",-21.0148092,55.2602795
2013.07.14,Jul-2013,Unprovoked,Diego Garcia,Diego Garcia,Diego Garcia,Y,Unknown,Unknown,Swimming,Unknown,"Diego Garcia, Diego Garcia, Diego Garcia","(-7.319500499999999, 72.42285559999999)",-7.319500499999999,72.42285559999999
2013.07.11,Jul-2013,Unprovoked,United States,North Carolina,Holden Beach. Brunswick County,N,15h20,Afternoon,Wading,Unknown,"Holden Beach. Brunswick County, North Carolina, United States","(33.9139209, -78.26938849999999)",33.9139209,-78.26938849999999
2013.07.09,Jul-2013,Not Confirmed,Spain,Catalonia,"Sant Marti d’Empuries Beach, L’Escala",U,Unknown,Unknown,Swimming,Unknown,"Sant Marti d’Empuries Beach, L’Escala, Catalonia, Spain","(42.139886, 3.1179122)",42.139886,3.1179122
2013.07.02,Jul-2013,Unprovoked,Australia,Victoria,"Flinders, Mornington Penisula",N,Unknown,Unknown,Surfing,Unknown,"Flinders, Mornington Penisula, Victoria, Australia","(-38.4344541, 144.9726306)",-38.4344541,144.9726306
2013.06.30,Jun-2013,Unprovoked,Taiwan,Taitung,Taitung,N,Unknown,Unknown,Fishing,Unknown,"Taitung, Taitung, Taiwan","(22.7613207, 121.1438152)",22.7613207,121.1438152
2013.06.27,Jun-2013,Not Confirmed,Jamaica,Kingston Parish,Port Royal,U,Unknown,Unknown,Unknown,Unknown,"Port Royal, Kingston Parish, Jamaica","(17.9367669, -76.8411038)",17.9367669,-76.8411038
2013.06.25.c,Jun-2013,Not Confirmed,United States,California,"Pacific State , San Mateo County",N,15h30,Afternoon,Fishing,White,"Pacific State , San Mateo County, California, United States","(37.4337342, -122.4014193)",37.4337342,-122.4014193
2013.06.25.b,Jun-2013,Unprovoked,United States,Florida,"Jacksonville, Duval County",N,Unknown,Unknown,Swimming,Bull,"Jacksonville, Duval County, Florida, United States","(30.3321838, -81.65565099999999)",30.3321838,-81.65565099999999
2013.06.25.a,Jun-2013,Unprovoked,United States,South Carolina,"Kiawah Island, Charleston County",N,12h45,Afternoon,Swimming,Unknown,"Kiawah Island, Charleston County, South Carolina, United States","(32.6082373, -80.0848166)",32.6082373,-80.0848166
2013.06.18,Jun-2013,Unprovoked,United States,Hawaii,Kona Coast State Park,N,12h50,Afternoon,Swimming,Tiger,"Kona Coast State Park, Hawaii, United States","(19.639994, -155.9969261)",19.639994,-155.9969261
2013.06.17,Jun-2013,Unprovoked,United States,Texas,"Surfside Beach, Brazoria County",N,14h45,Afternoon,Swimming,Unknown,"Surfside Beach, Brazoria County, Texas, United States","(28.9516604, -95.2875474)",28.9516604,-95.2875474
2013.06.16,Jun-2013,Unprovoked,South Africa,Eastern Cape Province,Queensberry Bay,N,Morning,Unknown,Surfing,Unknown,"Queensberry Bay, Eastern Cape Province, South Africa","(-32.8809205, 28.0956202)",-32.8809205,28.0956202
2013.06.15,Jun-2013,Unprovoked,United States,Florida,"Atlantic Beach, Duval County",N,Unknown,Unknown,Surfing,Unknown,"Atlantic Beach, Duval County, Florida, United States","(30.3344077, -81.398696)",30.3344077,-81.398696
2013.06.14.R,Jun-2013,Unprovoked,United States,South Carolina,"Myrtle Beach, Horry County",N,Afternoon,Afternoon,Surfing,Unknown,"Myrtle Beach, Horry County, South Carolina, United States","(33.6890603, -78.8866943)",33.6890603,-78.8866943
2013.06.06.b,Jun-2013,Provoked,United States,Florida,"Snipe Point, Florida Keys, Monroe County",N,Unknown,Unknown,Fishing,Lemon,"Snipe Point, Florida Keys, Monroe County, Florida, United States","(24.6981975, -81.6739784)",24.6981975,-81.6739784
2013.06.06.a,Jun-2013,Unprovoked,Australia,New South Wales,Target Beach,N,16h00,Afternoon,Surfing,Unknown,"Target Beach, New South Wales, Australia","(-35.0712278, 150.7829962)",-35.0712278,150.7829962
2013.05.27.b,May-2013,Unprovoked,United States,Hawaii,"Halewia, Oahu",N,Unknown,Unknown,Diving,Unknown,"Halewia, Oahu, Hawaii, United States","(21.5927614, -158.1034112)",21.5927614,-158.1034112
2013.05.27.a,May-2013,Unprovoked,United States,Florida,"Ormond Beach, Volusia County",N,Afternoon,Afternoon,Swimming,Unknown,"Ormond Beach, Volusia County, Florida, United States","(29.2858129, -81.0558894)",29.2858129,-81.0558894
2013.05.23.b,May-2013,Unprovoked,Brazil,Pernambuco,Praia do Porto,Y,Unknown,Unknown,Unknown,Unknown,"Praia do Porto, Pernambuco, Brazil","(-8.815298799999999, -35.1249871)",-8.815298799999999,-35.1249871
2013.05.23.a,May-2013,Provoked,Palestinian Territories,Gaza,Gaza,N,Evening,Unknown,Fishing,Unknown,"Gaza, Gaza, Palestinian Territories","(31.3546763, 34.3088255)",31.3546763,34.3088255
2013.05.14,May-2014,Unprovoked,Ecuador,Santa Cruz Island,"Playa Brava, Turtle Bay",N,12h00,Afternoon,Surfing,Unknown,"Playa Brava, Turtle Bay, Santa Cruz Island, Ecuador","(-0.6393592, -90.3371889)",-0.6393592,-90.3371889
2013.05.08.b,May-2013,Not Confirmed,United States,California,"Tourmaline Surf Park, San Diego County",U,Unknown,Unknown,Surfing,Unknown,"Tourmaline Surf Park, San Diego County, California, United States","(32.8051352, -117.2622363)",32.8051352,-117.2622363
2013.05.08.a,May-2013,Unprovoked,Reunion,Saint-Gilles,Brisant Beach,Y,08h20,Morning,Surfing,Bull,"Brisant Beach, Saint-Gilles, Reunion","(-21.057122, 55.222295)",-21.057122,55.222295
2013.05.04.a,May-2013,Unprovoked,United States,Florida,"Melbourne Beach, Brevard County",N,11h15,Morning,Surfing,Unknown,"Melbourne Beach, Brevard County, Florida, United States","(28.0683496, -80.56033029999999)",28.0683496,-80.56033029999999
2013.04.28,Apr-2013,Provoked,Australia,New South Wales,Emerald Beach,N,Unknown,Unknown,Fishing,Wobbegong,"Emerald Beach, New South Wales, Australia","(-30.1691878, 153.1851011)",-30.1691878,153.1851011
2013.04.24,Apr-2013,Unprovoked,Mexico,Quintana Roo,"Seagull Beach, Cancun",N,13h40,Afternoon,Swimming,Tiger,"Seagull Beach, Cancun, Quintana Roo, Mexico","(21.161908, -86.8515279)",21.161908,-86.8515279
2013.04.21,Apr-2013,Unprovoked,Australia,New South Wales,Crowdy Head,N,14h00,Afternoon,Fishing,Tiger,"Crowdy Head, New South Wales, Australia","(-31.8401787, 152.7508448)",-31.8401787,152.7508448
2013.04.17,Apr-2013,Unprovoked,United States,Florida,"Boynton Beach, Palm Beach County",N,10h30,Morning,Leisure,Unknown,"Boynton Beach, Palm Beach County, Florida, United States","(26.5317866, -80.0905465)",26.5317866,-80.0905465
2013.04.14,Apr-2013,Unprovoked,South Africa,Western Cape Province,False Bay,N,Unknown,Unknown,Diving,Unknown,"False Bay, Western Cape Province, South Africa","(-34.2433031, 18.6650678)",-34.2433031,18.6650678
2013.04.13.b,Apr-2013,Unprovoked,United States,Florida,"New Smyrna Beach, Volusia County",N,13h30,Afternoon,Surfing,Bull,"New Smyrna Beach, Volusia County, Florida, United States","(29.0258191, -80.9269984)",29.0258191,-80.9269984
2013.04.13.a,Apr-2013,Unprovoked,Guam,Guam,Guam,Y,Unknown,Unknown,Unknown,Unknown,"Guam, Guam, Guam","(13.444304, 144.793731)",13.444304,144.793731
2013.04.10,Apr-2013,Unprovoked,French Polynesia,Tuamotus,"North Pass, Fakarava",N,12h00,Afternoon,Surfing,Blacktip,"North Pass, Fakarava, Tuamotus, French Polynesia","(-16.3103178, -145.6245586)",-16.3103178,-145.6245586
2013.04.04,Apr-2013,Unprovoked,United States,Florida,"Jensen Beach, Martin County",N,Unknown,Unknown,Swimming,Unknown,"Jensen Beach, Martin County, Florida, United States","(27.2544906, -80.22976969999999)",27.2544906,-80.22976969999999
2013.04.02.R,Apr-2013,Not Confirmed,Australia,Western Australia,Perth,U,Unknown,Unknown,Unknown,Unknown,"Perth, Western Australia, Australia","(-31.9523123, 115.861309)",-31.9523123,115.861309
2013.04.02.a,Apr-2013,Unprovoked,United States,Hawaii,Ka’anapali Shores,N,08h30,Morning,Surfing,Unknown,"Ka’anapali Shores, Hawaii, United States","(20.9476185, -156.6901408)",20.9476185,-156.6901408
2013.03.31,Mar-2013,Not Confirmed,Australia,New South Wales,Terrigal Beach,U,Unknown,Unknown,Surfing,Unknown,"Terrigal Beach, New South Wales, Australia","(-33.4461804, 151.4447377)",-33.4461804,151.4447377
2013.03.29,Mar-2013,Unprovoked,Seychelles,Ile Platte,Ile Platte,N,Unknown,Unknown,Diving,Unknown,"Ile Platte, Ile Platte, Seychelles","(-5.863654599999999, 55.3848803)",-5.863654599999999,55.3848803
2013.03.21.R,Mar-2013,Unprovoked,Belize,Belize,Belize,N,Unknown,Unknown,Diving,Tiger,"Belize, Belize, Belize","(17.189877, -88.49765)",17.189877,-88.49765
2013.03.21,Mar-2013,Unprovoked,Bahamas,Eleuthera,Savannah Sound,N,Unknown,Unknown,Fishing,Unknown,"Savannah Sound, Eleuthera, Bahamas","(25.0837, -76.135757)",25.0837,-76.135757
2013.03.16.b,Mar-2013,Provoked,South Africa,Western Cape Province,De Mond,N,09h00,Morning,Fishing,Tiger,"De Mond, Western Cape Province, South Africa","(-34.71130309999999, 20.1049197)",-34.71130309999999,20.1049197
2013.03.16.a,Mar-2013,Unprovoked,South Africa,Western Cape Province,Hawston Beach,N,Unknown,Unknown,Surfing,Unknown,"Hawston Beach, Western Cape Province, South Africa","(-34.39617690000001, 19.1260623)",-34.39617690000001,19.1260623
2013.03.12,Mar-2013,Unprovoked,Jamaica,St. Catherine,Pillikin Red Light area,Y,09h00,Morning,Fishing,Tiger,"Pillikin Red Light area, St. Catherine, Jamaica","(18.0364134, -77.0564464)",18.0364134,-77.0564464
2013.03.10.b,Mar-2013,Unprovoked,Australia,Western Australia,Geraldton,N,09h00,Morning,Fishing,Copper,"Geraldton, Western Australia, Australia","(-28.7761346, 114.611295)",-28.7761346,114.611295
2013.03.10.a,Mar-2013,Unprovoked,Philippines,Palawan,Likas Island,N,Unknown,Unknown,Boat Accident,Unknown,"Likas Island, Palawan, Philippines","(11.0817344, 115.023615)",11.0817344,115.023615
2013.03.03,Mar-2013,Unprovoked,South Africa,Eastern Cape Province,Port St. John's,N,Unknown,Unknown,Swimming,Unknown,"Port St. John's, Eastern Cape Province, South Africa","(-31.6287512, 29.5368709)",-31.6287512,29.5368709
2013.02.27,Feb-2013,Unprovoked,New Zealand,North Island,Muriwai,Y,13h24,Afternoon,Swimming,White,"Muriwai, North Island, New Zealand","(-36.8246083, 174.4338612)",-36.8246083,174.4338612
2013.02.21.b,Feb-2013,Unprovoked,United States,Hawaii,"Ka'anapali, Honokowai, Maui",N,18h00,Evening,Surfing,Unknown,"Ka'anapali, Honokowai, Maui, Hawaii, United States","(20.9331214, -156.6831418)",20.9331214,-156.6831418
2013.02.21.a,Feb-2013,Unprovoked,United States,Hawaii,"Paia Bay, Maui",N,18h00,Evening,Surfing,Unknown,"Paia Bay, Maui, Hawaii, United States","(20.9173855, -156.3836273)",20.9173855,-156.3836273
2013.02.10,Feb-2013,Unprovoked,United States,Florida,"Stuart Rocks, Martin County",N,14h00,Afternoon,Surfing,Blacktip,"Stuart Rocks, Martin County, Florida, United States","(27.197548, -80.2528257)",27.197548,-80.2528257
2013.02.09,Feb-2013,Unprovoked,French Polynesia,Society Islands,Bora Bora,N,09h00 - 09h30,Morning,Diving,Lemon,"Bora Bora, Society Islands, French Polynesia","(-16.76130136163851, -151.4435889766104)",-16.76130136163851,-151.4435889766104
2013.02.01,Feb-2013,Unprovoked,Jamaica,Kingston Parish,Pedro Cays,N,Unknown,Unknown,Unknown,Unknown,"Pedro Cays, Kingston Parish, Jamaica","(18.109581, -77.297508)",18.109581,-77.297508
2013.01.26,Jan-2013,Not Confirmed,Australia,Victoria,Cape Nelson,N,Unknown,Unknown,Fishing,White,"Cape Nelson, Victoria, Australia","(-38.3847394, 141.565049)",-38.3847394,141.565049
2013.01.25,Jan-2013,Unprovoked,Australia,Queensland,Noosa,N,Unknown,Unknown,Surfing,Unknown,"Noosa, Queensland, Australia","(-26.4135439, 153.0505132)",-26.4135439,153.0505132
2013.01.21.R,Jan-2013,Not Confirmed,Australia,Queensland,Bullcock Beach,U,Unknown,Unknown,Unknown,Unknown,"Bullcock Beach, Queensland, Australia","(-26.8069452, 153.131696)",-26.8069452,153.131696
2013.01.16,Jan-2013,Unprovoked,United States,Hawaii,Kiholo Bay,N,16h30,Afternoon,Surfing,Tiger,"Kiholo Bay, Hawaii, United States","(19.8563675, -155.9217446)",19.8563675,-155.9217446
2013.01.13,Jan-2013,Unprovoked,New Zealand,Mercury Islands,Great Mercury Island,N,Unknown,Unknown,Fishing,Copper,"Great Mercury Island, Mercury Islands, New Zealand","(-36.6274033, 175.8025373)",-36.6274033,175.8025373
2013.01.05,Jan-2013,Unprovoked,Australia,Western Australia,Legendre Island,N,10h00,Morning,Diving,Unknown,"Legendre Island, Western Australia, Australia","(-20.3853568, 116.8763104)",-20.3853568,116.8763104
2012.12.31,Dec-2012,Unprovoked,United States,Florida,"Jensen Beach, Martin County",N,14h00,Afternoon,Swimming,Unknown,"Jensen Beach, Martin County, Florida, United States","(27.2544906, -80.22976969999999)",27.2544906,-80.22976969999999
2012.12.30,Dec-2012,Unprovoked,Australia,New South Wales,Long Reef Beach,N,12h45,Afternoon,Surfing,Unknown,"Long Reef Beach, New South Wales, Australia","(-33.7460834, 151.3040716)",-33.7460834,151.3040716
2012.12.28,Dec-2012,Unprovoked,Australia,New South Wales,"Kylie's Beach, Diamond Head",N,10h45,Morning,Surfing,Bull,"Kylie's Beach, Diamond Head, New South Wales, Australia","(-31.71929889999999, 152.7922834)",-31.71929889999999,152.7922834
2012.12.25,Dec-2012,Unprovoked,South Africa,Eastern Cape Province,Port St. John's,Y,Unknown,Unknown,Swimming,Tiger,"Port St. John's, Eastern Cape Province, South Africa","(-31.6287512, 29.5368709)",-31.6287512,29.5368709
2012.12.19,Dec-2012,Unprovoked,Australia,Western Australia,Trigg Beach,N,0830,Unknown,Surfing,Tiger,"Trigg Beach, Western Australia, Australia","(-31.8753469, 115.7515562)",-31.8753469,115.7515562
2012.12.05,Dec-2012,Unprovoked,United States,Hawaii,Kauai,N,13h20,Afternoon,Surfing,Unknown,"Kauai, Hawaii, United States","(22.0964396, -159.5261238)",22.0964396,-159.5261238
2012.12.02,Dec-2012,Unprovoked,Australia,New South Wales,Green Island,N,16h45,Afternoon,Fishing,Tiger,"Green Island, New South Wales, Australia","(-35.2721138, 150.5160592)",-35.2721138,150.5160592
2012.12.00,Dec-2012,Unprovoked,New Zealand,South Island,"Sunday Cove, Fiordland",N,Unknown,Unknown,Diving,Unknown,"Sunday Cove, Fiordland, South Island, New Zealand","(-45.59448159999999, 166.7423562)",-45.59448159999999,166.7423562
2012.11.30,Nov-2012,Unprovoked,United States,Hawaii,"Kihei, Maui",N,09h40,Morning,Diving,Tiger,"Kihei, Maui, Hawaii, United States","(20.7644275, -156.4450063)",20.7644275,-156.4450063
2012.11.27,Nov-2012,Not Confirmed,Australia,Queensland,Mooloolaba,U,14h50,Afternoon,Unknown,Unknown,"Mooloolaba, Queensland, Australia","(-26.6818215, 153.11903)",-26.6818215,153.11903
2012.11.22,Nov-2012,Unprovoked,Mexico,Sinaloa,Nuevo Altata,Y,11h40,Morning,Swimming,Unknown,"Nuevo Altata, Sinaloa, Mexico","(24.6487586, -107.985777)",24.6487586,-107.985777
2012.11.19,Nov-2012,Unprovoked,United States,Florida,"Melbourne Beach, Brevard County",N,17h30,Afternoon,Surfing,Unknown,"Melbourne Beach, Brevard County, Florida, United States","(28.0683496, -80.56033029999999)",28.0683496,-80.56033029999999
2012.11.04.b,Nov-2012,Unprovoked,United States,Hawaii,"Makena Landing, Maui",N,08h30,Morning,Diving,Tiger,"Makena Landing, Maui, Hawaii, United States","(20.653797, -156.4410126)",20.653797,-156.4410126
2012.11.04.a,Nov-2012,Unprovoked,United States,Hawaii,"Davidson's Surf Break, Kekaha, Kaua'i",N,08h10,Morning,Surfing,Tiger,"Davidson's Surf Break, Kekaha, Kaua'i, Hawaii, United States","(21.9708333, -159.715)",21.9708333,-159.715
2012.10.30,Oct-2012,Unprovoked,United States,California,"Humboldt Bay, Eureka, Humboldt County",N,12h00,Afternoon,Surfing,White,"Humboldt Bay, Eureka, Humboldt County, California, United States","(40.7195153, -124.242601)",40.7195153,-124.242601
2012.10.27,Oct-2012,Unprovoked,United States,Hawaii,"Makena Landing, Maui",N,15h56,Afternoon,Swimming,Tiger,"Makena Landing, Maui, Hawaii, United States","(20.653797, -156.4410126)",20.653797,-156.4410126
2012.10.23,Oct-2012,Unprovoked,United States,California,"Surf Beach, Lompoc, Santa Barbara County",Y,11h00,Morning,Surfing,White,"Surf Beach, Lompoc, Santa Barbara County, California, United States","(34.6831139, -120.6064278)",34.6831139,-120.6064278
2012.10.19,Oct-2012,Unprovoked,United States,Florida,"Seaport, Brevard County",N,Unknown,Unknown,Unknown,Unknown,"Seaport, Brevard County, Florida, United States","(28.4008253, -80.600124)",28.4008253,-80.600124
2012.10.18.b,Oct-2012,Unprovoked,United States,Florida,"Ponce Inlet, Volusia County",N,10h30,Morning,Surfing,Unknown,"Ponce Inlet, Volusia County, Florida, United States","(29.0963729, -80.9369983)",29.0963729,-80.9369983
2012.10.18.a,Oct-2012,Unprovoked,United States,Hawaii,"Kanaha Beach, Maui",N,07h30,Morning,Surfing,Unknown,"Kanaha Beach, Maui, Hawaii, United States","(20.8996987, -156.4405938)",20.8996987,-156.4405938
2012.10.16,Oct-2012,Not Confirmed,United States,Florida,Hobe Sound,U,17h00,Afternoon,Unknown,Unknown,"Hobe Sound, Florida, United States","(27.059498, -80.1364323)",27.059498,-80.1364323
2012.10.11.R,Oct-2012,Unprovoked,Nigeria,Delta,Oboro,N,Unknown,Unknown,Leisure,Unknown,"Oboro, Delta, Nigeria","(5.1883012, 5.8782562)",5.1883012,5.8782562
2012.10.07,Oct-2012,Unprovoked,United States,California,"Davenport Landing, Santa Cruz County",N,18h30,Evening,Surfing,Unknown,"Davenport Landing, Santa Cruz County, California, United States","(37.0260309, -122.2159035)",37.0260309,-122.2159035
2012.10.02,Oct-2012,Unprovoked,Australia,Western Australia,"Mullaloo Beach, Perth",N,12h00,Afternoon,Surfing,Unknown,"Mullaloo Beach, Perth, Western Australia, Australia","(-31.7818043, 115.7383978)",-31.7818043,115.7383978
2012.09.25,Sep-2012,Unprovoked,United States,Florida,"Melbourne Beach, Brevard County",N,16h30,Afternoon,Surfing,Unknown,"Melbourne Beach, Brevard County, Florida, United States","(28.0683496, -80.56033029999999)",28.0683496,-80.56033029999999
2012.09.24,Sep-2012,Unprovoked,United States,Florida,"Spanish House Beach, Brevard County",N,Afternoon,Afternoon,Surfing,Unknown,"Spanish House Beach, Brevard County, Florida, United States","(28.263933, -80.7214417)",28.263933,-80.7214417
2012.09.16,Sep-2012,Unprovoked,United States,Florida,"Cocoa Beach, Brevard County",N,15h00,Afternoon,Surfing,Unknown,"Cocoa Beach, Brevard County, Florida, United States","(28.3200067, -80.6075513)",28.3200067,-80.6075513
2012.09.10,Sep-2012,Unprovoked,Tonga,Vava'u,Eueiki Island,N,Unknown,Unknown,Swimming,Bull,"Eueiki Island, Vava'u, Tonga","(-18.622756, -173.9902982)",-18.622756,-173.9902982
2012.09.09,Sep-2012,Unprovoked,United States,Florida,"New Smyrna Beach, Volusia County",N,14h20,Afternoon,Surfing,Unknown,"New Smyrna Beach, Volusia County, Florida, United States","(29.0258191, -80.9269984)",29.0258191,-80.9269984
2012.09.08.b,Sep-2012,Unprovoked,United States,Florida,"Lori Wilson Park, Cocoa Beach, Brevard County",N,12h00,Afternoon,Surfing,Unknown,"Lori Wilson Park, Cocoa Beach, Brevard County, Florida, United States","(28.3371416, -80.60948499999999)",28.3371416,-80.60948499999999
2012.09.08.a,Sep-2012,Unprovoked,United States,Florida,"South Beach, Miami-Dade County",N,Afternoon,Afternoon,Swimming,Unknown,"South Beach, Miami-Dade County, Florida, United States","(25.7826123, -80.1340772)",25.7826123,-80.1340772
2012.09.06.b,Sep-2012,Unprovoked,United States,Florida,"Neptune Beach, Duval County",N,Just before noon,Afternoon,Surfing,Unknown,"Neptune Beach, Duval County, Florida, United States","(30.311908, -81.39647339999999)",30.311908,-81.39647339999999
2012.09.06.a,Sep-2012,Unprovoked,United States,Florida,"St. Augustine Beach, St. John's County",N,11h30,Morning,Surfing,Unknown,"St. Augustine Beach, St. John's County, Florida, United States","(29.8439828, -81.2711546)",29.8439828,-81.2711546
2012.09.04,Sep-2012,Unprovoked,United States,Florida,"Melbourne Beach, Brevard County",N,07h56,Morning,Surfing,Unknown,"Melbourne Beach, Brevard County, Florida, United States","(28.0683496, -80.56033029999999)",28.0683496,-80.56033029999999
2012.09.02.c,Sep-2012,Provoked,United States,Hawaii,"Spreckelsville, Maui",N,12h00,Afternoon,Fishing,Tiger,"Spreckelsville, Maui, Hawaii, United States","(20.9107182, -156.4051911)",20.9107182,-156.4051911
2012.09.02.b,Sep-2012,Unprovoked,United States,Florida,"New Smyrna Beach, Volusia County",N,18h30,Evening,Surfing,Unknown,"New Smyrna Beach, Volusia County, Florida, United States","(29.0258191, -80.9269984)",29.0258191,-80.9269984
