Case Number,Date,Type,Country,Area,Location,Fatal (Y/N),Time,Period,Activity Type,Species Type,Exact Location,Coordinate,Latitude,Longitude
2020.07.27.a,Jul-2020,Unprovoked,United States,Maine,"Bailey Island, Cumberland County",Y,15h59,Afternoon,Swimming,White,"Bailey Island, Cumberland County, Maine, United States","(43.7366927, -69.9940654)",43.7366927,-69.9940654
2020.07.23.b,Jul-2020,Unprovoked,United States,Bahamas,Spanish Cay,N,12h00,Afternoon,Fishing,Unknown,"Spanish Cay, Bahamas, United States","(26.9408454, -77.5268296)",26.9408454,-77.5268296
2020.07.23.a,Jul-2020,Unprovoked,United States,Florida,"New Smyrna Beach, Volusia County",N,Unknown,Unknown,Surfing,Unknown,"New Smyrna Beach, Volusia County, Florida, United States","(29.0258191, -80.9269984)",29.0258191,-80.9269984
2020.07.22,Jul-2020,Unprovoked,United States,North Carolina,"Neuse River, Craven County",N,17h30,Afternoon,Wading,Bull,"Neuse River, Craven County, North Carolina, United States","(35.0600171, -77.008365)",35.0600171,-77.008365
2020.07.19,Jul-2020,Unprovoked,United States,Florida,"Cocoa Beach, Brevard County",N,Afternoon,Afternoon,Wading,Unknown,"Cocoa Beach, Brevard County, Florida, United States","(28.3200067, -80.6075513)",28.3200067,-80.6075513
2020.07.17,Jul-2020,Unprovoked,Australia,Tasmania,"Stanley, Tasmania",N,13h30,Afternoon,Fishing,White,"Stanley, Tasmania, Tasmania, Australia","(-40.7597041, 145.2960121)",-40.7597041,145.2960121
2020.07.14,Jul-2020,Unprovoked,United States,Florida,"Melbourne Beach, Brevard County",N,Unknown,Unknown,Wading,Bull,"Melbourne Beach, Brevard County, Florida, United States","(28.0683496, -80.56033029999999)",28.0683496,-80.56033029999999
2020.07.13,Jul-2020,Unprovoked,Australia,Queensland,Fitzroy Island,N,11h45,Morning,Diving,Unknown,"Fitzroy Island, Queensland, Australia","(-16.9336669, 145.9943465)",-16.9336669,145.9943465
2020.07.11,Jul-2020,Unprovoked,Australia,New South Wales,Wilsons Headland,Y,14h30,Afternoon,Surfing,White,"Wilsons Headland, New South Wales, Australia","(-29.8255346, 153.289463)",-29.8255346,153.289463
2020.07.10,Jul-2020,Unprovoked,United States,Florida,"Cocoa Beach, Brevard County",N,08h00,Morning,Surfing,Unknown,"Cocoa Beach, Brevard County, Florida, United States","(28.3200067, -80.6075513)",28.3200067,-80.6075513
2020.07.04,Jul-2020,Unprovoked,Australia,Queensland,Fraser Island,Y,14h00,Afternoon,Fishing,Unknown,"Fraser Island, Queensland, Australia","(-25.2398229, 153.1325243)",-25.2398229,153.1325243
2020.06.22,Jun-2020,Unprovoked,United States,Florida,"Homestead, Miami-Dade County",N,Unknown,Unknown,Leisure,Bull,"Homestead, Miami-Dade County, Florida, United States","(25.4687224, -80.4775569)",25.4687224,-80.4775569
2020.06.20.b,Jun-2020,Unprovoked,United States,North Carolina,"Salvo, Dare County",N,16h00,Afternoon,Surfing,Unknown,"Salvo, Dare County, North Carolina, United States","(35.54018, -75.4729347)",35.54018,-75.4729347
